suite,scenario,time_s,time_min,temperature_K,ambient_K,sun_fraction,solar_W_m2,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
radiation,sun,415.0,6.916667,300.1391646313131,270.0,1.0,1000.0,0.0,0.0,-202.4654776786024,212.5,10.034522321397588,0.0,10.034522321397588,0.0,0.0,-83.8038141136445,88.1875,4.383685886355489,0.0,4.383685886355489
radiation,sun,420.0,7.0,300.140755435837,270.0,1.0,1000.0,0.0,0.0,-202.47793149956308,212.5,10.022068500436916,0.0,10.022068500436916,0.0,0.0,-84.81620377114231,89.25,4.433796228857673,0.0,4.433796228857673
radiation,sun,425.0,7.083333,300.14234426598586,270.0,1.0,1000.0,0.0,0.0,-202.49037006201962,212.5,10.009629937980378,0.0,10.009629937980378,0.0,0.0,-85.82865562145241,90.3125,4.483844378547576,0.0,4.483844378547576
radiation,sun,430.0,7.166667,300.14393112417883,270.0,1.0,1000.0,0.0,0.0,-202.50279338417528,212.5,9.997206615824723,0.0,9.997206615824723,0.0,0.0,-86.84116958837329,91.375,4.533830411626699,0.0,4.533830411626699
radiation,sun,435.0,7.25,300.14551601283216,270.0,1.0,1000.0,0.0,0.0,-202.51520148421244,212.5,9.98479851578756,0.0,9.98479851578756,0.0,0.0,-87.85374559579435,92.4375,4.583754404205637,0.0,4.583754404205637
radiation,sun,440.0,7.333333,300.1470989343591,270.0,1.0,1000.0,0.0,0.0,-202.52759438029304,212.5,9.972405619706961,0.0,9.972405619706961,0.0,0.0,-88.8663835676958,93.5,4.633616432304172,0.0,4.633616432304172
radiation,sun,445.0,7.416667,300.14867989117016,270.0,1.0,1000.0,0.0,0.0,-202.53997209055834,212.5,9.960027909441663,0.0,9.960027909441663,0.0,0.0,-89.8790834281486,94.5625,4.683416571851381,0.0,4.683416571851381
radiation,sun,450.0,7.5,300.1502588856728,270.0,1.0,1000.0,0.0,0.0,-202.5523346331292,212.5,9.947665366870808,0.0,9.947665366870808,0.0,0.0,-90.89184510131425,95.625,4.733154898685735,0.0,4.733154898685735
radiation,sun,455.0,7.583333,300.1518359202719,270.0,1.0,1000.0,0.0,0.0,-202.56468202610617,212.5,9.93531797389383,0.0,9.93531797389383,0.0,0.0,-91.90466851144478,96.6875,4.782831488555203,0.0,4.782831488555203
radiation,sun,460.0,7.666667,300.15341099736906,270.0,1.0,1000.0,0.0,0.0,-202.57701428756977,212.5,9.922985712430233,0.0,9.922985712430233,0.0,0.0,-92.91755358288262,97.75,4.832446417117355,0.0,4.832446417117355
radiation,sun,465.0,7.75,300.1549841193634,270.0,1.0,1000.0,0.0,0.0,-202.58933143557928,212.5,9.910668564420718,0.0,9.910668564420718,0.0,0.0,-93.93050024006051,98.8125,4.8819997599394584,0.0,4.8819997599394584
radiation,sun,470.0,7.833333,300.156555288651,270.0,1.0,1000.0,0.0,0.0,-202.60163348817457,212.5,9.89836651182543,0.0,9.89836651182543,0.0,0.0,-94.94350840750138,99.875,4.931491592498586,0.0,4.931491592498586
radiation,sun,475.0,7.916667,300.1581245076251,270.0,1.0,1000.0,0.0,0.0,-202.613920463375,212.5,9.886079536625004,0.0,9.886079536625004,0.0,0.0,-95.95657800981826,100.9375,4.98092199018171,0.0,4.98092199018171
radiation,sun,480.0,8.0,300.159691778676,270.0,1.0,1000.0,0.0,0.0,-202.62619237917883,212.5,9.873807620821168,0.0,9.873807620821168,0.0,0.0,-96.96970897171416,102.0,5.030291028285816,0.0,5.030291028285816
radiation,sun,485.0,8.083333,300.1612571041913,270.0,1.0,1000.0,0.0,0.0,-202.638449253565,212.5,9.861550746435,0.0,9.861550746435,0.0,0.0,-97.98290121798198,103.0625,5.0795987820179915,0.0,5.0795987820179915
radiation,sun,490.0,8.166667,300.16282048655563,270.0,1.0,1000.0,0.0,0.0,-202.65069110449141,212.5,9.849308895508585,0.0,9.849308895508585,0.0,0.0,-98.99615467350442,104.125,5.128845326495534,0.0,5.128845326495534
radiation,sun,495.0,8.25,300.1643819281509,270.0,1.0,1000.0,0.0,0.0,-202.66291794989618,212.5,9.837082050103817,0.0,9.837082050103817,0.0,0.0,-100.0094692632539,105.1875,5.178030736746054,0.0,5.178030736746054
radiation,sun,500.0,8.333333,300.165941431356,270.0,1.0,1000.0,0.0,0.0,-202.6751298076973,212.5,9.824870192302711,0.0,9.824870192302711,0.0,0.0,-101.0228449122924,106.25,5.227155087707567,0.0,5.227155087707567
radiation,sun,505.0,8.416667,300.1674989985471,270.0,1.0,1000.0,0.0,0.0,-202.6873266957922,212.5,9.812673304207806,0.0,9.812673304207806,0.0,0.0,-102.03628154577136,107.3125,5.276218454228606,0.0,5.276218454228606
radiation,sun,510.0,8.5,300.1690546320976,270.0,1.0,1000.0,0.0,0.0,-202.69950863205824,212.5,9.80049136794176,0.0,9.80049136794176,0.0,0.0,-103.04977908893166,108.375,5.325220911068314,0.0,5.325220911068314
radiation,sun,515.0,8.583333,300.17060833437785,270.0,1.0,1000.0,0.0,0.0,-202.71167563435293,212.5,9.788324365647071,0.0,9.788324365647071,0.0,0.0,-104.06333746710341,109.4375,5.374162532896549,0.0,5.374162532896549
radiation,sun,520.0,8.666667,300.17216010775553,270.0,1.0,1000.0,0.0,0.0,-202.723827720513,212.5,9.776172279487014,0.0,9.776172279487014,0.0,0.0,-105.07695660570597,110.5,5.423043394293985,0.0,5.423043394293985
radiation,sun,525.0,8.75,300.1737099545955,270.0,1.0,1000.0,0.0,0.0,-202.73596490835516,212.5,9.764035091644843,0.0,9.764035091644843,0.0,0.0,-106.09063643024774,111.5625,5.471863569752209,0.0,5.471863569752209
radiation,sun,530.0,8.833333,300.1752578772597,270.0,1.0,1000.0,0.0,0.0,-202.7480872156768,212.5,9.751912784323196,0.0,9.751912784323196,0.0,0.0,-107.10437686632613,112.625,5.5206231336738245,0.0,5.5206231336738245
radiation,sun,535.0,8.916667,300.17680387810725,270.0,1.0,1000.0,0.0,0.0,-202.7601946602543,212.5,9.739805339745686,0.0,9.739805339745686,0.0,0.0,-108.1181778396274,113.6875,5.569322160372553,0.0,5.569322160372553
